"BehaviorSpace results (NetLogo 6.0.1)"
"yellowstone-wolf.nlogo"
"InitialExperiment"
"12/06/2019 12:51:39:851 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","grass-growth-rate","movement-cost","num-of-bison","num-of-moose","num-of-sheep","num-of-wolves","nrg-gain-from-grass","num-of-deer","[step]"
"111","0.3","0.5","15","20","15","10","1.5","20","3000"
"113","0.3","0.5","15","15","20","15","2","20","3000"
"112","0.3","0.5","15","20","15","10","1.5","15","3000"
"114","0.3","0.5","15","15","20","15","2","15","3000"
"115","0.3","0.5","15","15","20","15","1.5","20","3000"
"116","0.3","0.5","15","15","20","15","1.5","15","3000"
"143","0.2","1","20","20","15","10","1.5","20","3000"
"118","0.3","0.5","15","15","20","10","2","15","3000"
"120","0.3","0.5","15","15","20","10","1.5","15","3000"
"119","0.3","0.5","15","15","20","10","1.5","20","3000"
"127","0.3","0.5","15","15","15","10","1.5","20","3000"
"122","0.3","0.5","15","15","15","15","2","15","3000"
"123","0.3","0.5","15","15","15","15","1.5","20","3000"
"125","0.3","0.5","15","15","15","10","2","20","3000"
"121","0.3","0.5","15","15","15","15","2","20","3000"
"124","0.3","0.5","15","15","15","15","1.5","15","3000"
"128","0.3","0.5","15","15","15","10","1.5","15","3000"
"136","0.2","1","20","20","20","10","1.5","15","3000"
"129","0.2","1","20","20","20","15","2","20","3000"
"130","0.2","1","20","20","20","15","2","15","3000"
"132","0.2","1","20","20","20","15","1.5","15","3000"
"131","0.2","1","20","20","20","15","1.5","20","3000"
"134","0.2","1","20","20","20","10","2","15","3000"
"133","0.2","1","20","20","20","10","2","20","3000"
"138","0.2","1","20","20","15","15","2","15","3000"
"151","0.2","1","20","15","20","10","1.5","20","3000"
"144","0.2","1","20","20","15","10","1.5","15","3000"
"135","0.2","1","20","20","20","10","1.5","20","3000"
"141","0.2","1","20","20","15","10","2","20","3000"
"137","0.2","1","20","20","15","15","2","20","3000"
"142","0.2","1","20","20","15","10","2","15","3000"
"139","0.2","1","20","20","15","15","1.5","20","3000"
"140","0.2","1","20","20","15","15","1.5","15","3000"
"148","0.2","1","20","15","20","15","1.5","15","3000"
"146","0.2","1","20","15","20","15","2","15","3000"
"145","0.2","1","20","15","20","15","2","20","3000"
"147","0.2","1","20","15","20","15","1.5","20","3000"
"149","0.2","1","20","15","20","10","2","20","3000"
"170","0.2","1","15","20","15","15","2","15","3000"
"150","0.2","1","20","15","20","10","2","15","3000"
"153","0.2","1","20","15","15","15","2","20","3000"
"155","0.2","1","20","15","15","15","1.5","20","3000"
"154","0.2","1","20","15","15","15","2","15","3000"
"152","0.2","1","20","15","20","10","1.5","15","3000"
